epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.8793,1.83603,3.60712,1.54163,0.00336,1,0.68743,0.2748,1.03703,3.87373,1.14162,0.00021671,0.00021671,0.00021671
2,125.901,1.50271,2.25092,1.33524,0.00342,1,0.52549,0.14047,1.18696,3.94523,1.31395,0.00030156,0.00030156,0.00030156
3,181.338,1.45045,1.98778,1.34611,0.00339,1,0.67392,0.18715,1.07564,3.83869,1.27849,0.00023238,0.00023238,0.00023238
