epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8973,1.70147,5.95327,1.87964,0.00355,1,0.91568,0.52871,1.1665,3.52814,1.35266,0.000545377,0.000545377,0.000545377
2,20.1533,1.48539,4.81172,1.61909,0.52309,0.68972,0.62454,0.25426,1.59333,3.47006,1.80607,0.00109014,0.00109014,0.00109014
3,28.5839,1.51109,4.30745,1.65148,0.78766,0.88462,0.9393,0.43887,1.5363,3.23971,1.74275,0.00162391,0.00162391,0.00162391
4,36.5127,1.53023,3.9645,1.69783,0.83358,0.8788,0.92476,0.49959,1.52162,3.12099,1.70593,0.00161749,0.00161749,0.00161749
5,44.4189,1.49242,3.8734,1.70478,0.96818,0.94231,0.96509,0.52038,1.3944,2.45946,1.59915,0.00160099,0.00160099,0.00160099
6,52.2797,1.46623,3.63271,1.59582,0.97732,0.97761,0.96977,0.50337,1.55656,2.28833,1.62478,0.00158448,0.00158448,0.00158448
7,60.1587,1.50671,3.25134,1.59297,0.99227,0.9909,0.995,0.58114,1.38496,2.08225,1.42214,0.00156798,0.00156798,0.00156798
8,68.0608,1.39092,2.82802,1.47953,0.96269,0.98077,0.97077,0.60666,1.35396,1.83848,1.40405,0.00155148,0.00155148,0.00155148
9,75.9502,1.42474,2.63093,1.52687,0.96345,1,0.99444,0.5788,1.40297,1.71803,1.47249,0.00153497,0.00153497,0.00153497
10,83.8881,1.40399,2.35741,1.50194,0.98185,0.96154,0.9925,0.57146,1.41264,1.77109,1.48427,0.00151847,0.00151847,0.00151847
11,91.8979,1.41497,2.38507,1.53109,0.98881,0.99785,0.995,0.58464,1.36399,1.72383,1.45899,0.00150197,0.00150197,0.00150197
12,99.9855,1.35659,2.09992,1.45968,0.99349,1,0.995,0.60349,1.34637,1.41727,1.40555,0.00148546,0.00148546,0.00148546
13,107.762,1.37108,1.974,1.46019,0.9755,0.97297,0.96302,0.55504,1.49216,1.12481,1.5154,0.00146896,0.00146896,0.00146896
14,115.563,1.35881,1.89068,1.49573,0.92119,0.97714,0.93252,0.55777,1.43352,1.01261,1.50053,0.00145246,0.00145246,0.00145246
15,123.405,1.35091,1.77187,1.5284,0.98681,0.95522,0.99258,0.61534,1.33597,1.11464,1.46208,0.00143595,0.00143595,0.00143595
16,131.293,1.32178,1.81921,1.53144,0.91635,0.98002,0.96794,0.50971,1.48836,1.10681,1.59346,0.00141945,0.00141945,0.00141945
17,139.304,1.31991,1.66285,1.48515,0.9904,1,0.995,0.5953,1.33759,0.84373,1.42217,0.00140295,0.00140295,0.00140295
18,147.352,1.31873,1.56853,1.48093,0.95388,0.96154,0.96892,0.53842,1.43827,0.89119,1.53487,0.00138644,0.00138644,0.00138644
19,155.41,1.32561,1.49421,1.50713,0.96654,0.98077,0.96982,0.53934,1.52781,0.94383,1.5787,0.00136994,0.00136994,0.00136994
20,163.947,1.3006,1.3906,1.47749,0.98524,1,0.995,0.58397,1.39724,0.88893,1.47556,0.00135344,0.00135344,0.00135344
21,172.488,1.31745,1.32457,1.47709,0.91403,0.98077,0.95149,0.52809,1.54461,0.78106,1.56453,0.00133693,0.00133693,0.00133693
22,181.19,1.33247,1.28622,1.45449,0.96539,0.97774,0.96368,0.55069,1.56034,0.7735,1.58306,0.00132043,0.00132043,0.00132043
23,189.605,1.30798,1.21907,1.49123,0.97334,0.97909,0.96655,0.55629,1.48356,0.80692,1.56283,0.00130393,0.00130393,0.00130393
24,197.783,1.27634,1.2287,1.48617,0.9741,0.98077,0.9657,0.58092,1.47355,0.73354,1.52169,0.00128742,0.00128742,0.00128742
25,205.966,1.25179,1.20191,1.42945,0.96765,0.98077,0.96153,0.58637,1.37988,0.72992,1.44004,0.00127092,0.00127092,0.00127092
26,214.276,1.2331,1.12475,1.36504,0.97027,0.98077,0.96526,0.5649,1.41746,0.814,1.48815,0.00125442,0.00125442,0.00125442
27,222.592,1.24399,1.09169,1.42139,0.9575,0.98077,0.96436,0.46571,1.73167,0.90837,1.73587,0.00123791,0.00123791,0.00123791
28,230.94,1.22458,1.0612,1.40208,0.91515,0.98077,0.95563,0.59458,1.44785,0.72411,1.50105,0.00122141,0.00122141,0.00122141
29,239.227,1.19922,1.03662,1.39948,0.97208,0.98077,0.96812,0.54991,1.50455,0.73841,1.56754,0.00120491,0.00120491,0.00120491
30,247.565,1.16161,0.95906,1.39085,0.97483,0.98077,0.97573,0.55772,1.5147,0.71824,1.57583,0.0011884,0.0011884,0.0011884
31,255.905,1.21394,0.92964,1.3826,0.95408,0.96154,0.94989,0.53185,1.45104,0.79709,1.53765,0.0011719,0.0011719,0.0011719
32,264.305,1.21539,0.95583,1.4196,0.93355,0.94231,0.90778,0.49237,1.71581,0.78647,1.74823,0.0011554,0.0011554,0.0011554
33,272.703,1.22914,0.97345,1.39894,0.97593,0.98077,0.97113,0.54352,1.57049,0.72022,1.60226,0.00113889,0.00113889,0.00113889
34,281.17,1.17429,0.95708,1.40219,0.95393,0.96154,0.93479,0.54007,1.48496,0.64696,1.57463,0.00112239,0.00112239,0.00112239
35,289.823,1.17651,0.92064,1.39789,0.91904,0.94205,0.92299,0.49924,1.63657,0.74077,1.67752,0.00110589,0.00110589,0.00110589
